provider,provider_quote_id,provider_lot_id,airport_code,start_utc,end_utc,currency,price_total,raw_payload
parkwhiz,pwq_lax_2,pw_lax_2,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,36.1,"{""listing_id"": ""pw_lax_2"", ""quote_id"": ""pwq_lax_2"", ""location_name"": ""Pacific Park and Fly"", ""address"": ""5711 W Century Blvd"", ""city"": ""Los Angeles"", ""state"": ""CA"", ""postal_code"": ""90045"", ""lat"": 33.9461, ""lng"": -118.3837, ""currency"": ""USD"", ""total_price"": 36.1, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/los-angeles-parking/pacific-park-and-fly/"", ""phone"": ""(310) 555-0102"", ""capacity"": 200, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
parkwhiz,pwq_lax_3,pw_lax_3,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,22.4,"{""listing_id"": ""pw_lax_3"", ""quote_id"": ""pwq_lax_3"", ""location_name"": ""Airport Center Garage"", ""address"": ""210 E Imperial Ave"", ""city"": ""El Segundo"", ""state"": ""CA"", ""postal_code"": ""90245"", ""lat"": 33.9314, ""lng"": -118.4018, ""currency"": ""USD"", ""total_price"": 22.4, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/los-angeles-parking/airport-center-garage/"", ""phone"": ""(310) 555-0103"", ""capacity"": 110, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
spothero,shq_lax_1,sh_lax_1,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,27.5,"{""facility_id"": ""sh_lax_1"", ""rate_id"": ""shq_lax_1"", ""facility_name"": ""Sunset Airport Parking"", ""street_address"": ""200 World Way Boulevard"", ""municipality"": ""Los Angeles"", ""region"": ""CA"", ""zip"": ""90045"", ""latitude"": 33.9427, ""longitude"": -118.4083, ""currency_code"": ""USD"", ""price"": 27.5}"
spothero,shq_lax_2,sh_lax_2,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,33.95,"{""facility_id"": ""sh_lax_2"", ""rate_id"": ""shq_lax_2"", ""facility_name"": ""Pacific Park & Fly"", ""street_address"": ""900 Sepulveda Boulevard"", ""municipality"": ""Los Angeles"", ""region"": ""CA"", ""zip"": ""90045"", ""latitude"": 33.9499, ""longitude"": -118.396, ""currency_code"": ""USD"", ""price"": 33.95}"
spothero,shq_lax_3,sh_lax_3,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,16.5,"{""facility_id"": ""sh_lax_3"", ""rate_id"": ""shq_lax_3"", ""facility_name"": ""Downtown LA Garage"", ""street_address"": ""700 Flower St"", ""municipality"": ""Los Angeles"", ""region"": ""CA"", ""zip"": ""90017"", ""latitude"": 34.0487, ""longitude"": -118.2587, ""currency_code"": ""USD"", ""price"": 16.5}"
cheap_airport_parking,capq_lax_1,cap_lax_1,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,28.25,"{""id"": ""cap_lax_1"", ""quote_ref"": ""capq_lax_1"", ""title"": ""Sunset Airport Parking"", ""address_1"": ""6151 W Century Blvd."", ""city_name"": ""Los Angeles"", ""state_code"": ""CA"", ""zip_code"": ""90045"", ""geo"": {""lat"": 33.9454, ""lng"": -118.3896}, ""pricing"": {""currency"": ""USD"", ""total"": 28.25, ""display_total"": ""$28.25"", ""daily_from"": 8.95}, ""lot_type"": ""self"", ""parking_type"": ""outdoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 10, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.6, ""count"": 301}, ""free_cancellation"": true}"
cheap_airport_parking,capq_lax_2,cap_lax_2,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,35.5,"{""id"": ""cap_lax_2"", ""quote_ref"": ""capq_lax_2"", ""title"": ""Pacific Park and Fly"", ""address_1"": ""5711 W Century Boulevard"", ""city_name"": ""Los Angeles"", ""state_code"": ""CA"", ""zip_code"": ""90045"", ""geo"": {""lat"": 33.946, ""lng"": -118.3838}, ""pricing"": {""currency"": ""USD"", ""total"": 35.5, ""display_total"": ""$35.50"", ""daily_from"": 10.95}, ""lot_type"": ""self"", ""parking_type"": ""indoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 15, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.4, ""count"": 198}, ""free_cancellation"": true}"
cheap_airport_parking,capq_lax_3,cap_lax_3,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,16.25,"{""id"": ""cap_lax_3"", ""quote_ref"": ""capq_lax_3"", ""title"": ""Marina Traveler Parking"", ""address_1"": ""1200 Lincoln Blvd"", ""city_name"": ""Santa Monica"", ""state_code"": ""CA"", ""zip_code"": ""90401"", ""geo"": {""lat"": 34.0195, ""lng"": -118.4912}, ""pricing"": {""currency"": ""USD"", ""total"": 16.25, ""display_total"": ""$16.25"", ""daily_from"": 7.95}, ""lot_type"": ""self"", ""parking_type"": ""outdoor"", ""airport_shuttle"": {""included"": false, ""frequency_minutes"": null, ""hours"": null}, ""reviews"": {""rating"": 3.9, ""count"": 42}, ""free_cancellation"": false}"
spothero,shr_ord_1,sh_ord_1,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,28.49,"{""facility_id"": ""sh_ord_1"", ""rate_id"": ""shr_ord_1"", ""facility_name"": ""Joes Airport Parking"", ""street_address"": ""9420 River Street"", ""municipality"": ""Schiller Park"", ""region"": ""IL"", ""zip"": ""60176"", ""latitude"": 41.9741, ""longitude"": -87.8692, ""currency_code"": ""USD"", ""price"": 28.49, ""display_price"": ""$28.49"", ""review_score"": 4.6, ""review_count"": 318, ""amenities"": [""self_park"", ""shuttle"", ""covered_available""], ""shuttle_frequency_minutes"": 15, ""distance_to_airport_miles"": 2.4, ""is_refundable"": true, ""inventory_status"": ""available""}"
spothero,shr_ord_2,sh_ord_2,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,34.95,"{""facility_id"": ""sh_ord_2"", ""rate_id"": ""shr_ord_2"", ""facility_name"": ""Skyline Valet"", ""street_address"": ""10100 Mannheim Road"", ""municipality"": ""Rosemont"", ""region"": ""IL"", ""zip"": null, ""latitude"": 41.996, ""longitude"": -87.8853, ""currency_code"": ""USD"", ""price"": 34.95, ""display_price"": ""$34.95"", ""review_score"": 4.4, ""review_count"": 190, ""amenities"": [""valet"", ""shuttle""], ""shuttle_frequency_minutes"": 10, ""distance_to_airport_miles"": 2.9, ""is_refundable"": true, ""inventory_status"": ""available""}"
spothero,shr_ord_3,sh_ord_3,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,22.0,"{""facility_id"": ""sh_ord_3"", ""rate_id"": ""shr_ord_3"", ""facility_name"": ""River North Event Parking"", ""street_address"": ""10 Arena Boulevard"", ""municipality"": ""Chicago"", ""region"": ""IL"", ""zip"": ""60610"", ""latitude"": 41.901, ""longitude"": -87.6375, ""currency_code"": ""USD"", ""price"": 22.0, ""display_price"": ""$22.00"", ""review_score"": 4.1, ""review_count"": 74, ""amenities"": [""self_park""], ""shuttle_frequency_minutes"": null, ""distance_to_airport_miles"": 16.8, ""is_refundable"": false, ""inventory_status"": ""available""}"
spothero,shr_lax_1,sh_lax_1,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,29.1,"{""facility_id"": ""sh_lax_1"", ""rate_id"": ""shr_lax_1"", ""facility_name"": ""Sunset Airport Parking"", ""street_address"": ""6151 W Century Boulevard"", ""municipality"": ""Los Angeles"", ""region"": ""CA"", ""zip"": ""90045"", ""latitude"": 33.9456, ""longitude"": -118.3894, ""currency_code"": ""USD"", ""price"": 29.1, ""display_price"": ""$29.10"", ""review_score"": 4.7, ""review_count"": 412, ""amenities"": [""self_park"", ""shuttle"", ""ev_charging""], ""shuttle_frequency_minutes"": 12, ""distance_to_airport_miles"": 1.8, ""is_refundable"": true, ""inventory_status"": ""available""}"
spothero,shr_lax_2,sh_lax_2,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,35.95,"{""facility_id"": ""sh_lax_2"", ""rate_id"": ""shr_lax_2"", ""facility_name"": ""Pacific Park & Fly"", ""street_address"": ""5711 W Century Blvd"", ""municipality"": ""Los Angeles"", ""region"": ""CA"", ""zip"": ""90045"", ""latitude"": 33.9462, ""longitude"": -118.3835, ""currency_code"": ""USD"", ""price"": 35.95, ""display_price"": ""$35.95"", ""review_score"": 4.5, ""review_count"": 265, ""amenities"": [""self_park"", ""shuttle"", ""covered_available""], ""shuttle_frequency_minutes"": 15, ""distance_to_airport_miles"": 1.5, ""is_refundable"": true, ""inventory_status"": ""available""}"
spothero,shr_lax_3,sh_lax_3,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,16.5,"{""facility_id"": ""sh_lax_3"", ""rate_id"": ""shr_lax_3"", ""facility_name"": ""Downtown LA Garage"", ""street_address"": ""700 Flower St"", ""municipality"": ""Los Angeles"", ""region"": ""CA"", ""zip"": ""90017"", ""latitude"": 34.0487, ""longitude"": -118.2587, ""currency_code"": ""USD"", ""price"": 16.5, ""display_price"": ""$16.50"", ""review_score"": 4.0, ""review_count"": 86, ""amenities"": [""self_park""], ""shuttle_frequency_minutes"": null, ""distance_to_airport_miles"": 16.1, ""is_refundable"": false, ""inventory_status"": ""available""}"
