airport_code,left_provider,left_lot_id,right_provider,right_lot_id,score,decision,reason
LAX,parkwhiz,pw_lax_2,spothero,sh_lax_2,1.0,match,high name similarity; high address similarity; near-identical geolocation; same city; same state; same postal code
LAX,parkwhiz,pw_lax_2,spothero,sh_lax_3,0.3202,no_match,same city; same state
LAX,parkwhiz,pw_lax_2,cheap_airport_parking,cap_lax_1,0.4731,no_match,high address similarity; same city; same state; same postal code
LAX,parkwhiz,pw_lax_2,cheap_airport_parking,cap_lax_2,1.0,match,high name similarity; high address similarity; near-identical geolocation; same city; same state; same postal code
LAX,parkwhiz,pw_lax_2,cheap_airport_parking,cap_lax_3,0.3193,no_match,same state
LAX,parkwhiz,pw_lax_3,spothero,sh_lax_1,0.2567,no_match,same state
LAX,parkwhiz,pw_lax_3,spothero,sh_lax_2,0.1704,no_match,same state
LAX,parkwhiz,pw_lax_3,spothero,sh_lax_3,0.2189,no_match,same state
LAX,parkwhiz,pw_lax_3,cheap_airport_parking,cap_lax_1,0.2567,no_match,same state
LAX,parkwhiz,pw_lax_3,cheap_airport_parking,cap_lax_2,0.1614,no_match,same state
LAX,parkwhiz,pw_lax_3,cheap_airport_parking,cap_lax_3,0.294,no_match,same state
LAX,spothero,sh_lax_1,cheap_airport_parking,cap_lax_1,1.0,match,high name similarity; high address similarity; near-identical geolocation; same city; same state; same postal code
LAX,spothero,sh_lax_1,cheap_airport_parking,cap_lax_2,0.4731,no_match,high address similarity; same city; same state; same postal code
LAX,spothero,sh_lax_1,cheap_airport_parking,cap_lax_3,0.2888,no_match,same state
LAX,spothero,sh_lax_2,cheap_airport_parking,cap_lax_1,0.435,no_match,high address similarity; same city; same state; same postal code
LAX,spothero,sh_lax_2,cheap_airport_parking,cap_lax_2,1.0,match,high name similarity; high address similarity; near-identical geolocation; same city; same state; same postal code
LAX,spothero,sh_lax_2,cheap_airport_parking,cap_lax_3,0.2741,no_match,same state
LAX,spothero,sh_lax_3,cheap_airport_parking,cap_lax_1,0.2766,no_match,same city; same state
LAX,spothero,sh_lax_3,cheap_airport_parking,cap_lax_2,0.3202,no_match,same city; same state
LAX,spothero,sh_lax_3,cheap_airport_parking,cap_lax_3,0.23,no_match,same state
